idx,Last Name(s),company,Title (as a thought leader),notes,City/State,Country,city,website,lat,lng,tax1,tax2,tax3
0,Abiola-Awe,Oluwadabira Abiola-Awe,Ventures & Solutions Movement Associate,Student Energy,Lagos,Nigeria,"Lagos, Nigeria",https://www.linkedin.com/in/oluwadabira-abiola-awe-200649189/,6.524379,3.379206,Leader,Leader,Leader
1,Achapka,Priscilla Achapka,Global President,Women Environmental Programme,Abuja,Nigeria,"Abuja, Nigeria",https://wepnigeria.net/index.php/team/priscilla-achakpa/,9.076478,7.398574,Leader,Leader,Leader
2,Adler,Meredith Adler,Executive Director,Student Energy,Vancouver,Canada,"Vancouver, Canada",https://www.linkedin.com/in/meredithadler/ ,49.282729,-123.120738,Leader,Leader,Leader
3,Aggarwal,Sonia Aggarwal,Former Chief Executive Officer,Energy Innovation,"San Francisco, CA",USA,"San Francisco, CA, USA",https://www.linkedin.com/in/soniaaggarwal/,37.77493,-122.419416,Leader,Leader,Leader
4,Agya Utama,Nuki Agya Utama,Executive Director at ASEAN Centre for Energy,ASEAN center for Energy,Jakarta,Indonesia,"Jakarta, Indonesia",https://www.linkedin.com/in/nuki-agya-utama-phd-99450018/,-6.208763,106.845599,Leader,Leader,Leader
5,Aldridge,Jessica Aldridge,Director of Sustainability and Zero Watse Programs,Athens Services,"Los Angeles, CA",USA,"Los Angeles, CA, USA",https://www.linkedin.com/in/jessicaaldridgegreenbean/,34.052234,-118.243685,Leader,Leader,Leader
6,AlJameel,Ahmed AlJameel,International Climate & Energy Policy Analyst at Ministry of Energy,Saudi Arabia Ministry of Energy,Riyadh,Saudi Arabia,"Riyadh, Saudi Arabia",https://www.linkedin.com/in/ahmed-aljameel-msc-394b4649/,24.713552,46.675296,Leader,Leader,Leader
7,Alonso-Martinez,Manuel Alonso-Martinez,Executive Director,Earth Team,"El Sobrante, CA",USA,"El Sobrante, CA, USA",https://www.linkedin.com/in/manuel-alonso-martinez-b14aa220/,37.977145,-122.295247,Leader,Leader,Leader
8,Alzelzela,Fatemah Alzelzela,Founder,EcoStar,Kuwait City,Kuwait,"Kuwait City, Kuwait",https://www.instagram.com/eco.star.kw/?hl=en,29.375859,47.977405,Leader,Leader,Leader
9,Amador,Giana Amador,Founder and Policy Director,Carbon 180,"Oakland, CA",USA,"Oakland, CA, USA",https://www.linkedin.com/in/gianaamador/,37.804351,-122.271164,Leader,Leader,Leader
10,Ambrose,Kristal Ambrose,Founder,Bahamas Plastic Movement,Eleuthera,The Bahamas,"Eleuthera, The Bahamas",https://www.goldmanprize.org/recipient/kristal-ambrose/,24.931446,-76.189966,Leader,Leader,Leader
11,Amin,Adnan Amin,Former Director General,International Renewable Energy Agency (IRENA),"Cambridge, MA",USA,"Cambridge, MA, USA",https://www.linkedin.com/in/adnan-amin/,42.373616,-71.109734,Leader,Leader,Leader
12,Anastas,Paul Anastas,Director of the Center for Green Chemistry and Green Engineering,Yale University,"New Haven, CT",USA,"New Haven, CT, USA",https://environment.yale.edu/profiles/faculty/paul-anastas,41.308274,-72.927884,Leader,Leader,Leader
13,Andersen,Inger Andersen,Director-General,International Union for Conservation of Nature (IUCN),Nairobi,Kenya,"Nairobi, Kenya",https://www.unep.org/people/inger-andersen,-1.292066,36.821946,Leader,Leader,Leader
14,Anderson,James Anderson,Professor of Atmospheric Chemistry,Harvard University,Cambridge. MA,USA,"Cambridge. MA, USA",https://www.seas.harvard.edu/person/james-anderson,42.373616,-71.109734,Leader,Leader,Leader
15,Anderson,Susan Anderson,Former Director,Portland Bureau of Planning and Sustainability,"Portland, OR",USA,"Portland, OR, USA",https://www.linkedin.com/in/susan-anderson-2348828,45.515232,-122.678385,Leader,Leader,Leader
16,Attenborough,David Attenborough,Broadcaster,,London,United Kingdom,"London, United Kingdom",https://twitter.com/attenboroughsir?lang=en,51.507218,-0.127586,Leader,Leader,Leader
17,Azevedo,Tasso Azevedo,Founder,Imaflora,São Paulo,Brazil,"São Paulo, Brazil",https://www.linkedin.com/in/tassoazevedo/?originalSubdomain=br  https://www.ted.com/speakers/tasso_azevedo,-23.555771,-46.639557,Leader,Leader,Leader
18,Backer,Benji Backer,Founder and President,American Conservation Coalition,"Appleton, WI",USA,"Appleton, WI, USA",https://www.linkedin.com/in/benjibacker/,44.261931,-88.415385,Leader,Leader,Leader
19,Baddache,Farid Baddache,Chief Executive Officer and Co-Founder,Ksapa,Paris,France,"Paris, France",https://www.linkedin.com/in/farid-baddache/,48.856614,2.352222,Leader,Leader,Leader
20,Baggs,David Baggs,Chief Executive Officer and Program Director,Global Green Tag,Brisbane,Australia,"Brisbane, Australia",https://www.linkedin.com/in/ecolabel-green-product-certification-transparency-cradle-to-cradle-declare/?originalSubdomain=au,-27.470453,153.026034,Leader,Leader,Leader
21,Bahri,Akissa Bahri,"Former Minister, Professor","Agriculture, Water Resources and Fisheries/National Agricultural Institute of Tanzania",Tunis,Tunisia,"Tunis, Tunisia",https://inweh.unu.edu/governance/iac/akissa-bahri/,36.806495,10.181532,Leader,Leader,Leader
22,Baiget,Ester Baiget,President and Chief Executive Officer,Nomozymes,Bagsværd,Denmark,"Bagsværd, Denmark",https://www.linkedin.com/in/ester-baiget-6723a074/,55.765314,12.457244,Leader,Leader,Leader
23,Bainimarama,Frank  Bainimarama,Prime Minister,The Republic of Fiji,Suva,Fiji,"Suva, Fiji",https://twitter.com/FijiPM?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,-18.140505,178.423251,Leader,Leader,Leader
24,Baker,Shalanda Baker,Deputy Director for Energy Justice ,"Office of Economic Impact and Development, US Department of Energy","Washington, DC",USA,"Washington, DC, USA",https://www.linkedin.com/in/shalanda-baker-13a607205/,38.907192,-77.036871,Leader,Leader,Leader
25,Bakker,Peter Bakker,President,World Business Council for Sustainable Development,Geneva,Switzerland,"Geneva, Switzerland",https://www.linkedin.com/in/peter-bakker-14a13638/,46.204391,6.143158,Leader,Leader,Leader
26,Ballin,Lee Ballin,Head of Business Development and Sustainability,Bloomberg NEF,"New York, NY",USA,"New York, NY, USA",https://www.linkedin.com/in/lee-ballin-85aa2033/,40.712775,-74.005973,Leader,Leader,Leader
27,Bande,Charlotte Bande,Global Head of Climate Strategy,Quantis International,"San Diego, CA",USA,"San Diego, CA, USA",https://www.linkedin.com/in/charlotte-bande/,32.715738,-117.161084,Leader,Leader,Leader
28,Basel,Sharon Basel,Senior Manager of Sustainability,General Motors,"Detroit, MI",USA,"Detroit, MI, USA",https://www.linkedin.com/in/sharonbasel/,42.331427,-83.045754,Leader,Leader,Leader
29,Bassiere,Nestor Batio Bassiere,"Minister of Environment, Climate Change, and Green Economy",Burkina Faso,Ouagadougou,Burkina Faso,"Ouagadougou, Burkina Faso",https://www.linkedin.com/in/batio-nestor-bassiere-6036a450/?originalSubdomain=bf,12.371428,-1.51966,Leader,Leader,Leader
30,Bastida,Xiye Bastida,Lead Organizer,Fridays for Future,"New York, NY",USA,"New York, NY, USA",https://www.linkedin.com/in/xiye-bastida-377394199/,40.712775,-74.005973,Leader,Leader,Leader
31,Becker,Nicole Becker,Co-founder,Jóvenes por el Clima Argentina (Youth for Climate Argentina),Buenos Aires,Argentina,"Buenos Aires, Argentina",https://twitter.com/nickibeckerok?lang=en,-34.603684,-58.381559,Leader,Leader,Leader
32,Beckham,Sophie Beckham,Chief Sustainability Officer,International Paper,"Ashville, NC",USA,"Ashville, NC, USA",https://www.linkedin.com/in/sophie-beckham-18209957/,35.595058,-82.551487,Leader,Leader,Leader
33,Bellaguarda,Flavia Bellaguarda,Co-founder & Ambassador,Youth Climate Leaders,São Paulo,Brazil,"São Paulo, Brazil",https://www.linkedin.com/in/fl%C3%A1via-bellaguarda/,-23.555771,-46.639557,Leader,Leader,Leader
34,Benisi,Mona Benisi,Global Head of Sustainability Real Assets,Morgan Stanley,"New York, NY",USA,"New York, NY, USA",https://www.linkedin.com/in/mona-benisi-64b00b68/,40.712775,-74.005973,Leader,Leader,Leader
35,Benyus,Janine Benyus,Founder,Biomimicry Institute,"Stevensville, MT",USA,"Stevensville, MT, USA",https://www.linkedin.com/in/janine-benyus-a5626/ ,46.509922,-114.093159,Leader,Leader,Leader
36,Berg,Christian Berg,University Lecturer,Kiel University,Heikendorf,Germany,"Heikendorf, Germany",https://www.linkedin.com/in/prof-dr-christian-berg-38150511/?locale=en_US,54.379377,10.211254,Leader,Leader,Leader
37,Bergoglio,"His Holiness Pope Francis, Jorge Mario Bergoglio",Bishop of Rome; Author,Roman Catholic Church; Laudato Si',Vatican City ,Vatican City ,"Vatican City , Vatican City",https://twitter.com/Pontifex?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,41.902916,12.453389,Leader,Leader,Leader
38,Berlin,Ken Berlin,President and Chief Executive Officer,The Climate Reality Project,"Washington, DC",USA,"Washington, DC, USA",https://www.linkedin.com/in/kberlin/,38.907192,-77.036871,Leader,Leader,Leader
39,Bernard,Mitchell Bernard,Chief Counsel,NRDC,"New York, NY",USA,"New York, NY, USA",https://www.nrdc.org/experts/mitchell-bernard,40.712775,-74.005973,Leader,Leader,Leader
40,Bhargava,Apoorv Bhargava,Chief Executive Officer and Co-Founder,Weave Grid,"San Francisco, CA",USA,"San Francisco, CA, USA",https://www.linkedin.com/in/apoorv-bhargava/,37.77493,-122.419416,Leader,Leader,Leader
41,Bierbaum,Rosina Bierbaum,Professor of Environmental Policy and Planning Climate + Energy,University of Michigan,"Ann Arbor, MI",USA,"Ann Arbor, MI, USA",https://seas.umich.edu/research/faculty/rosina-bierbaum ,42.280826,-83.743038,Leader,Leader,Leader
42,bin Rashid Al Maktoum,H.H. Sheikh Mohammed bin Rashid Al Maktoum,Vice President and Prime Minister,UAE,Dubai,UAE,"Dubai, UAE",https://www.linkedin.com/in/mohammedbinrashid/?originalSubdomain=ae,25.204849,55.270783,Leader,Leader,Leader
43,Birol,Fatih Birol,Executive Director,International Energy Agency (IEA),Paris,France,"Paris, France",https://www.linkedin.com/in/fatih-birol-66862a195/,48.856614,2.352222,Leader,Leader,Leader
44,Blasco,José Luis Blasco,Global Sustainability Director,Acciona,Madrid,Spain,"Madrid, Spain",https://www.linkedin.com/in/joseluisblasco/,40.416775,-3.70379,Leader,Leader,Leader
45,Boeve,May Boeve,Executive Director,350.org,"Brooklyn, NY",USA,"Brooklyn, NY, USA",https://twitter.com/mayboeve?lang=en,40.678178,-73.944158,Leader,Leader,Leader
46,Bonita,Abby Bonita,Head of Sustainability Reporting and Compliance,MERALCO,Manila,Philippines,"Manila, Philippines",https://www.linkedin.com/in/abby-bonita-b7931365/,14.599512,120.98422,Leader,Leader,Leader
47,Bouhia,Hynd Bouhia,President and Chief Executive Officer,Strategica,Rabat,Morocco,"Rabat, Morocco",https://www.linkedin.com/in/hynd-bouhia-phd-0289a3a3/,33.97159,-6.849813,Leader,Leader,Leader
48,Boukhchina,Rim Boukhchina,Head of Sustainable Energy Policies and Member States Support Unit,RCREEE,Ben Arous,Tunisia,"Ben Arous, Tunisia",https://www.linkedin.com/in/rim-boukhchina-99bb686b/,36.7435,10.231976,Leader,Leader,Leader
49,Boyd,Lisa Boyd,Senior Director of Corporate Responsibility and Sustainability,Target,"Minneapolis, MN",USA,"Minneapolis, MN, USA",https://www.linkedin.com/in/lmboyd/,44.977753,-93.265011,Leader,Leader,Leader
50,Brandt,Kate Brandt,Chief Sustainability Officer,Google,"Mountain View, CA",USA,"Mountain View, CA, USA",https://www.linkedin.com/in/katebrandt/,37.386052,-122.083851,Leader,Leader,Leader
51,Brannigan,Peggy Brannigan,"Senior Program Manager, Global Environmental Sustainability",LinkedIn,"San Francisco, CA",USA,"San Francisco, CA, USA",https://www.linkedin.com/in/peggybrannigan/,37.77493,-122.419416,Leader,Leader,Leader
