idx,company,Title,notes,tax3,tax2,tax1,Enterprise/Sector Type,city,Country,Continent: Asia,website,lat,lng
0,Abby Bonita,Head of Sustainability Reporting and Compliance,MERALCO,Under 30,Female,For-Profit,General,Manila,Philippines,Asia,https://www.linkedin.com/in/abby-bonita-b7931365/,14.599512,120.98422
1,Abdul Muqeet,Activist (The Paper Bag Boy),,Under 30,Male,Non-Profit,NGO,Abu Dhabi,UAE,Asia,https://www.instagram.com/thepaperbagboy/,24.453884,54.377344
2,Abigail Dillen,President,Earthjustice,Over 30,Female,Non-Profit,NGO,"San Francisco, CA",USA,North America,https://www.linkedin.com/in/abbie-dillen/ ,37.77493,-122.419416
3,Adair Turner,Chair,The Energy Transitions Commission,Over 30,Male,Non-Profit,NGO,London,United Kingdom,Europe,https://twitter.com/adairturneruk?lang=en,51.507218,-0.127586
4,Adnan Amin,Former Director General,International Renewable Energy Agency (IRENA),Over 30,Male,Non-Profit,Government,"Cambridge, MA",USA,North America,https://www.linkedin.com/in/adnan-amin/,42.373616,-71.109734
5,Adrian Fernández Bremauntz,CEO,Iniciativa Climática de México,Over 30,Male,Non-Profit,Energy/Environmental,Mexico City,Mexico,North America,https://www.linkedin.com/in/adrian-fern%C3%A1ndez-284a4930/?originalSubdomain=mx,19.432608,-99.133208
6,Ahmed AlJameel,International Climate & Energy Policy Analyst at Ministry of Energy,Ministry of Energy in Saudi Arabia,Under 30,Male,Non-Profit,Government,Riyadh,Saudi Arabia,Asia,https://www.linkedin.com/in/ahmed-aljameel-msc-394b4649/,24.713552,46.675296
7,Ajay Mathur,Director General,The Energy and Resources Institute,Over 30,Male,Non-Profit,NGO,New Delhi,India,Asia,https://www.linkedin.com/in/international-solar-alliance/,28.613939,77.209021
8,Ajei Gopal,Chief Executive Officer,Ansys,Over 30,Male,For-Profit,General,"Pittsburg, PA",USA,North America,https://www.linkedin.com/in/ajeigopal/,40.440625,-79.995886
9,Akissa Bahri,"Former Minister, Professor","Agriculture, Water Resources and Fisheries/National Agricultural Institute of Tanzania",Over 30,Female,Non-Profit,Government,Tunis,Tunisia,Africa,https://wle.cgiar.org/cosai/commissioners/akissa-bahri https://inweh.unu.edu/governance/iac/akissa-bahri/,36.806495,10.181532
